Question,Answer
How does Khelo Gram work?,Khelo gram provides user a platform that connect teams/player with Clubs/Organizers to perform tournaments.
How can I join Khelo Gram?,"For now, you can join Khelo gram as a Team and Club/Organizer. "
Is there a mobile app?,"Currently, Mobile application for Khelo gram is not available for users, It is in developing phase when available or any update comes we will notify users."
Which sports are supported?,"Khelo gram various sports but not supports e-sports, It supports physical sports like- Cricket, Football, Vollyball etc."
Does Khelo Gram support cricket?,"Yes, Khelo gram supports Cricket and also other physical tournaments."
Can I play football or kabaddi?,"Yes, in Khelo gram Organizer/Club can create any physical tournament and Players/Team can direct participate."
Are indoor games included?,No indoor games are currently not included in Khelo gram.
Is Khelo Gram available in my village?,"After Log in to your profile in search bar of home page you can search your nearby club/Organization name, if it is visible then yes."
Which areas does Khelo Gram cover?,"Initially, We started to cover Village and Local areas."
Is it only for rural areas?,"No absuluately not, any team/player from any location can use our application."
Can urban players join?,"Yes, every player from every location can join."
Is Khelo Gram free?,Khelo gram is absolutely free-of-cost. There is no hidden charge of using it.
Do I need to pay to join?,For using Khelo gram platform there is no charge but if you participate any tournament the charges can be taken by the Club/Organizer.
Are there premium features?,We are trying to add more fetures and may be it will be availble soon.
Is this platform safe for kids?,"Yes. This is safe, secure and easy use platform any user can use it."
Is Khelo Gram live?,"Yes, It is Live. And When we will work on the application for updating fetures we notify users."
Is this a college project?,"So, Our core members started working as a college project but now it is for global users."
How can I contact Khelo Gram?,"You can contact with our teams from the below of the Landing page (About Section-> Teams, Contacts.)"
How can I give feedback?,Yes absolutely you can give Feedback and we will be glad to get your Feedback.
Where can I report an issue?,For any error or report you can report through About Section.
Do you have social media?,"Yes, We have social media platforms like Github, Facebook, Instagram you can tag us from there."
How can I contact to Organizations?,You can contact from About Section in Landing Page.
How can I join Khelo Gram?,"It is a great idea to join Khelo gram, You can join as Team/Player or an Organizer/Club."
Where do I register?,"After clicking on Get started button you directed to the SignUp page that is the register page, you can register yourself from there."
How can I contribute?,You can contribute by giving us ratings also saying your friends and others to use this application and by posting about our Khelo gram in social media sites with hashtags(#).
What is Khelo Gram?,Khelo gram is a online platform that gives Players/Team to join any physical Tournament ans provides Organizer a platform that they can Create or share their Tournaments to get teams fast.
Who can register on Khelo Gram?,"Any individual players, any Team, any Organization or Club."
What does “Khelo Gram” mean?,Khelo gram comes with an ideology to give chance to team or individual players from village and towns or increase the number of their joing in a tournament directly and easily contact with clubs/Organizations.
What is the minimum age to join?,There is no age limit to use Khelo gram but Tournaments may be have age limit criteria that depend on Club/Organizations.
Why was Khelo Gram created?,Khelo gram was created in a vision to provide players to easily join tournaments in close or any location and win prizes. And Club/Organizations also fillup their Team slots fast.
Can school students join?,"Yes, anyone cal join but for now only if they want to join physicaly present tournament, no e-sports are available in our platform currently."
What problem does Khelo Gram solve?,Khelo gram slove problems like to get know about tournaments for teams who loves to play and win prizes also for Organizations/Club who can easily fillup their total team slots needs.
Can college students join?,"Yes, anyone can join but age criteria depends on tournament details by Club/Organization."
Who can use Khelo Gram?,"Any individual players, any Team, any Organization or Club."
Can working professionals join?,"Yes, every professional, every individual, organizations/club can join."
Is Khelo Gram only for villages?,"No, It is just a platform to connect clubs/Organizations with players and teams. So from any locatio user can access or use if they proper network."
Can girls participate?,"Obviously, if any tournaments is only for girls then they also can participate it totaly depends on tournaments criteria that provided by Clubs."
Is Khelo Gram a government project?,"No, It is not government project. It is totally our own vision."
Can differently-abled players join?,"Yes, but they have to find any club post for any tournaments for them or not. For using Khelo gram platform there is no criteria."
Is Khelo Gram available all over India?,"Yes, anyone from any location can access Khelo gram with network connection."
Can parents register for their children?,"Yes, but for playing tournaments they have to contact with clubs directly."
Is this an NGO or a startup?,Yes we are a Startup.
Which sports are available on Khelo Gram?,"There are various physical or outdoor tournaments are available like - Cricket, Football, Vollyball etc."
What details are required for signup?,"Like SignUp in other platforms, In Khelo gram just the basic details are need to create user profile but user should have a phone because there is an OTP verification and for Club/Organizer just have to provide Club/Organization name other details are same."
Does it support cricket?,Yes. It supports Cricket tournaments.
Can I edit my profile later?,Yes. You can edit your profile later.
Does it support football?,"Yes, It supports Football tournaments."
What if I forget my password?,If you forget your password you can reset your password with basic otp varification step.
Is kabaddi available?,"Yes, Khelo gram gives platform to clubs/organizers any type of outdoor tournaments."
Can I delete my account?,"Yes, anytime you want you can delete your account."
Are athletics events included?,Any physically presence tournaments are included.
Do I need documents to register?,"No, there is no need of any documents to register in Khelo gram or use the platform."
Are indoor games supported?,"No, Khelo gram not supports any indoor games."
How can I find local matches?,"After login from your home page search bar you can find your nearby club name or locations, if they register and provides any tournament it will visible."
Will more sports be added?,"Yes, We are trying to add various outdoor tournaments."
How do I join a tournament?,If you are a Team/Player/Club you can directly contact with the tournament organizer to join their tournament.
Can local/traditional games be included?,"Yes, It totally depends on Club/Organizations. Except e-sports for now we are giving access to create outdoor tournaments."
Can I create my own tournament?,If you are a Organizer/Club you can create own tournament.
Who can organize events?,An Organizer/Club can organize events.
Can coaches register on Khelo Gram?,We do not know about users profession but in Khelo gram we mention only two option one for Team/Player and another for Club/Organizations.
Is there a participation limit?,"No, this is the best thing that our platform do not limit any user to participate any tournament."
How can academies list themselves?,They can Signup themself as a team or player and join tournaments.
Will I get notifications for events?,"Yes, We are in developing phase we are trying to give notification each time when new tournament post is created by clubs, user can turn off notification also."
Are coaches verified?,"Khelo gram individually do not know users profession, only supports player/Team and Club/Organization and if they signup they have to go with verficiation process."
Are prizes provided for winners?,For prize and money it totally depends on tournament organizer. Khelo gram just a connecting platform it do not give any prize to users.
Can academies post trial announcements?,"Sorry, I am not able to answer your query. Please contact with developing team."
How does Khelo Gram find nearby events?,"Khelo gram is an open platform clubs can come and register and create tournaments, user can find nearby tournaments by searching."
Can I use it in my village?,"Yes, Obviously. From any location Khelo gram is accessible."
Are there any hidden charges?,No. Using our platform is totally free-of-cost. There is no hidden charges.
What if my area is not listed?,Area is listed but may be your club or organization not registered in our platform you can say them to use this platform.
Do tournaments require entry fees?,"Yes, tournament may require entry fees but it depends on clubs/organizations."
Can urban players use Khelo Gram?,Yes. Any player from any location can use it.
Will paid plans be introduced later?,As far as our vision there will be no paid plans but if we launch we will notify users.
Can communities create local sports groups?,Yes. 
How are payments handled?,For now there is no third party interuption players or teams can paymets directly with organizer commitee.
How to become an Organizer?,To become an Organization/Club in Khelo gram you have to signup as Organization/Club.
How to contact with Club?,In tournament details there will be all details and contact number to contact with club.
How do you prevent fake users?,As there is OTP verification and direct contact with Clubs we 99% assure that there will be no fake users. but if you notice you can report us.
Is Khelo Gram a website or an app?,"We are in developing phase, for now it is an web application but our aim to build a mobile friendly application to help every users."
Is location data stored?,"We only stored information with users permission, if it is added then we store but it is secure."
Which devices are supported?,Any device with proper network connection are supported.
Can Khelo Gram help me get noticed?,You will be notify if any update comes also we are try to add more features to notify accordingly.
Does it work on low-end phones?,To use Khelo gram user need proper network connection and for now it is a web application but we will land with mobile application soon.
Is there talent scouting?,We provide a score table in user profile.
Can it be used with slow internet?,To use our platform you need a stable network connection.
Can players build sports profiles?,In khelo gram user only has two option to set their profile one is Team/Player and another is Organization.
Will there be an offline mode?,No it is only access using internet connection.
Who is Team?,Team is a collection of player who want to participate various tournaments and win prizes.
Who is Club?,Clubs/Organizations are those who have the authority to create tournaments.
Who is Organizer?,Organizer/Club can create tournament.
Will performance history be stored?,"Yes, it will be added in your profile section."
Which type platform is this?,This is an Open platform that connects every player/teams with club/organizations.
Can schools partner with Khelo Gram?,"Yes, if they want they can partner but they have to contact with Khelo gram team otherwise they can join as an organization in Khelo gram."
How can I contact support?,"You can contact with our teams from the below of the Landing page (About Section-> Teams, Contacts.)"
Can NGOs collaborate?,I am not able to give answer of this query please contact with Khelo gram team.
Is there a help center?,If any type of problem user faces they can contact through About section contact.
Can sports brands sponsor events?,They can join as an organization. and for more query about this they directly contact with Team of Khelo gram.
How quickly does support respond?,We try our best to give you quick response for our end. But to provide various users query it may take some time otherwise you can use me I will try to give relavant answers fast.
Can government bodies join?,"No, For now there is no government involvement in Khelo gram."
Where can I see announcements?,For tournament you can see it on home page and for any update we will notify through notfication.
How can I become a partner?,"To become a partner please contact with Khelo gram team. Otherwise, if you want I can guide you how to become an organizer/Club or player in our platform."
How many Clubs are there?,"Sorry, I don't have the exact number of Clubs paricipation in our platform."
Who you are?,I am a Virtual assistant who help users to get answers of their queries.
What is your speciality?,My speciality is I can give you relevant answers of your questions and also can give answers of FAQs.
Why we use Khelogram?,Khelo gram gives you a open platform to connect with teams and club/Organizations. For teams who want to participate in tournaments and also win prizes it is best platform to know more tournaments and for clubs this platform give chance to get teams to fill their team needs.
Can I volunteer for Khelo Gram?,Our platform not provides any third party involvement.
Can I suggest new features?,If you have any reports you can contact with khelo gram team.
Can developers contribute?,For contribute please contact with our core team members of Khelo gram.
What can this chatbot do?,I can help you by giving relavant answers of your queries also can answer FAQs.
Is the project open source?,"Yes, it is open and user can access with proper network connection."
Are you a real person?,I am PlayCo. A virtual chatbot assistant.
How can you help me?,I can help you by answering your queries.
Can you guide me to registration?,Yes. For registration click on Get started button then choose which type user you are then fill the form and Login your page.
Can you connect me to support?,To contact with our support team go to about section contacts option.
What exactly can I do here?,"If you are a club/organization you can create tournament also can participate in other organizations tournament if you have players, if you are player/team you can only participate in tournaments."
How is Khelo Gram different from other sports apps?,We are different because for our simple attractive UI also the features we provide and mainly direct contact and easy application that village and local players want.
Is this only for professional players?,"No, our aim is that everyone from every location can access and join tournaments if they want."
Are matches supervised?,Matches are created by the club/organizers we just give the platform to serve.
I’m new to sports—can I still join?,"Yes, you can join. For now we are taking Team and clubs/organizations but we are in developing phase and we provide this for single player also."
Are coaches background-verified?,We do not know about users profession but in Khelo gram we mention only two option one for Team/Player and another for Club/Organizations.
Do I need prior experience?,No we do not ask about previous experience but if you played well win chance increase for you.
Is there any age-wise grouping?,It is totally depends on organizer site they can limit the age criteria. Application does not support age limitation.
What happens after I sign up?,After your signup you become an authenticate user and you can log in and use our application.
Can I find nearby grounds or playgrounds?,"Yes, if your nearby club/organizer register theirself in our application you can find them from home page search bar."
Is this similar to Khelo India?,We are not directly similar to Khelo India. We are an individual platform that actually connect players with clubs/organizers.
How will my performance be tracked?,This feature is not developed yet but we are trying to cover these things.
Can ground owners register their grounds?,If you can create tournament then you can join as an organizer/club.
Can I upload match highlights?,"Yes, Player/ team can post pictures."
How do I book a ground?,"Sorry, we don't support these things."
Can I build a sports profile?,"Yes, you can register yourself as team/player or club/organizer."
Are facilities verified?,"We do not provide facility but we give some features, and also adding more features."
Will my achievements be saved?,We will add your achivement summary in your profile section.
Can users rate grounds?,No. We do not support this.
Can I share my profile with selectors?,You can share your profile by clicking share with button.
What rules are followed in matches?,The tournament rules are totally depends on club/organization. We do not have knowledge about how many or what type rules are there.
Can I get certificates or recognition?,No. We do not provide any certification from our side.
Can I play PubG or computer games?,No. For now our platform is only for physical presence and outdoor tournaments.
Is this for esports players?,"No, We do not support esports for now."
Who decides match rules?,Match rules are decided by the tournament creators means the club/organizers.
What if my village has no sports facility?,If your village club/organizer do not register in our platform you can not see their tournaments.
How are disputes handled?,Our team tried their best to handle any type of disputes but if you get any problem you can report them directly.
Can I suggest a new location?,"No, it is not possible to suggest location in this application."
What if a team violates rules?,If a team violates any rules that fully handled by the organizing team.
Can I change my location later?,You can edit your profile section.
Is there a fair-play policy?,"Sorry, I can not understand your query."
How accurate is location matching?,Tournament location can be track from the google map or you can directly contact with Organizations.
Who can organize tournaments?,Organizer/Club can only create/organize tournament.
Can I join events outside my area?,"Yes, you can join tournaments outside of your area."
Can I play single or with team?,"For now you only can play with team but we are in deveeloping phase, very soon we add features so that single player also can play. But you can contact with tournament organizer if they give chance to play single player or not."
Do organizers need approval?,We do not know what organizers needs. We just connect you with them for now.
Can volunteers help manage events?,That fully depends on club rules we don't give any volunteers.
Can this help me get a sports career?,You can use this application to built a good presence in sports that help you to grow.
Are there organizer dashboards?,Yes Organization/Club get separate profile there they get dashboards.
Are scholarships supported?,No. We do not provide any scholarships.
Can event organizers earn money?,Sorry. I can not answer this query. Please contact with developer team.
Will recruiters or scouts use this platform?,This platforms is mainly for players and club/organizations.
Can users give reviews?,"Yes, you can give reviews that help us to reach more players."
Can I report misuse?,"Yes, Anytime you get an issue you can report."
Are fake reviews controlled?,We try our best to give you better performance and check fake activity.
Is Khelo Gram available in regional languages?,"Yes, we are working on it so that no language barrier comes from users to use our application."
I’m not receiving OTP—what to do?,"Wait a minute and try again, some time it occurs for network issue. If you get again same problem try to reach our team from contacts."
Will Hindi support be added?,"Yes, we are working on it so that no language barrier comes from users to use our application."
Login not working—how to fix?,Wait for couple of minutes. Sometime for network issues it happens. If you getting error everytime contact with support section.
Can I change the language?,"Yes, you can change with available language."
Can I change my registered number?,Registered number can not be changed after signup but everytime for tournament creationa and application they can change.
Is it accessible for non-English users?,"Yes, we are working on it so that no language barrier comes from users to use our application."
Can I merge multiple accounts?,No. It does not support that.
Why is my account restricted?,If your account getting any type of problem contact with support section.
Page is not responding what to do?,Wait for some time then again try. If it gives same error then contact support section.
Will I get match reminders?,"Yes, when new match will be added you will be notified."
Will I get SMS or WhatsApp alerts?,We give notification for application updation and other from app notification. But tournament details alert will be given by organizers.
Can I turn notifications off?,"Yes, anytime you want you can turn off notification."
Can I create or join teams?,For now you can only join as a team or an Organization/Club.
Can I invite friends?,"Yes, you can ask your friend to use this application."
Are community forums available?,We are working some of these features. It is not totally implemented.
Can I chat with teammates?,For now it is not possible but we are working on it.
Can teams have their own pages?,"Yes, both team and Club get separate profiles."
Is this in beta?,"Yes, It is in 'beta'. We are developing and trying to add features. It is not final application now."
Can I join as an early user?,You can join as a tema and an Organizer/Club for now.
Will early users get special benefits?,"No, We do not provide any type of facility."
What is the long-term vision of Khelo Gram?,Our long term vision is who wants to play and win prizes no barrier comes and also every player can get a chance to participate in tournaments.
Will international events be added?,Sorry. I can not answer this query. Please contact with developer team.
Will esports be included?,For now we do not support esports.
Is this scalable nationwide?,This application can be use from anywhere in India for now.
What are the upcoming features?,Sorry. I can not give answer on it because team are working to add so many features that will help users.
Can you register me?,"No, but I can give you direction how to register."
How can I start playing today?,"You have to register, login then find tournaments to play."
Can you show nearby matches?,For that you have to log in your profile and search from home page.
What’s the next tournament near me?,Sorry. I can not answer this query.
Can you recommend sports for me?,Sorry. I can not do this for you.
How do I join my first match?,You can only join your first match from your home page and by contacting to Club who post tournamnets.
Can you guide me step by step?,"Yes. I can guide you for registraion, Signup, login and Others queries. how can I help you or what to do?"
Can I try it without full registration?,No. First you have to register yourself to use our application.
Are you available 24/7?,"Yes, I am your virtual assistant. I am availble 24/7 for you."
Where do I click to get started?,Go top of the Landing page there you can see Get started button.
What team can do?,For now team only can participate in any tournament by contacting to Clubs.
What club/organizers can do?,Club/Organizer can create tournaments also they have other features like team.
Can I ask more questions?,Yes. You can ask me any question you have related to our application. I will guide you.
Why Khelo gram?,"Khelo gram gives you a open platform to connect with teams and club/Organizations. For teams who want to participate in tournaments and also win prizes, it is best platform to know more tournaments and for clubs this platform give chance to get teams to fill their team needs and track team/player request and participations."
Why use Khelo gram?,Khelo gram is a non-profit online platform that connect team/players with Clubs/Organization's made tournaments.
